Country,Date,Total_Cases,Total_Deaths,New_Cases,Rolling_Avg,is_outbreak,Lag_1,Lag_2,Lag_3,Rolling_Max,Rolling_Std,Rate_of_Change,Month,Week_of_Year,Season,Country_Code
Guinea,2014-08-29,648.0,430.0,648.0,648.0,0,,,,648.0,0.0,0.0,8,35,2,0
Guinea,2014-09-05,812.0,517.0,164.0,406.0,0,648.0,,,648.0,342.239682094289,-0.7469135802469136,9,36,3,0
Guinea,2014-09-08,862.0,555.0,50.0,287.3333333333333,0,164.0,648.0,,648.0,317.5048556059156,-0.6951219512195121,9,37,3,0
Guinea,2014-09-12,861.0,557.0,0.0,215.5,0,50.0,164.0,648.0,648.0,296.38882120170007,-1.0,9,37,3,0
Guinea,2014-09-16,936.0,595.0,75.0,72.25,0,0.0,50.0,164.0,164.0,68.65554116991098,10.0,9,38,3,0
Guinea,2014-09-18,942.0,601.0,6.0,32.75,0,75.0,0.0,50.0,75.0,35.92005011132372,-0.92,9,38,3,0
Guinea,2014-09-22,1008.0,632.0,66.0,36.75,0,6.0,75.0,0.0,75.0,39.220530338076856,10.0,9,39,3,0
Guinea,2014-09-24,1022.0,635.0,14.0,40.25,0,66.0,6.0,75.0,75.0,35.27392804891464,-0.7878787878787878,9,39,3,0
Guinea,2014-09-26,1074.0,648.0,52.0,34.5,0,14.0,66.0,6.0,66.0,29.0459406228594,2.7142857142857144,9,39,3,0
Guinea,2014-10-01,1157.0,710.0,83.0,53.75,0,52.0,14.0,66.0,83.0,29.375443259067154,0.5961538461538463,10,40,3,0
Guinea,2014-10-03,1199.0,739.0,42.0,47.75,0,83.0,52.0,14.0,83.0,28.476598579652624,-0.49397590361445787,10,40,3,0
Guinea,2014-10-08,1298.0,768.0,99.0,69.0,0,42.0,83.0,52.0,99.0,26.545558322752864,1.3571428571428572,10,41,3,0
Guinea,2014-10-10,1350.0,778.0,52.0,69.0,0,99.0,42.0,83.0,99.0,26.545558322752864,-0.4747474747474747,10,41,3,0
Guinea,2014-10-15,1472.0,843.0,122.0,78.75,0,52.0,99.0,42.0,122.0,38.06463800782393,1.3461538461538463,10,42,3,0
Guinea,2014-10-17,1519.0,862.0,47.0,80.0,0,122.0,52.0,99.0,122.0,36.5057073163454,-0.6147540983606558,10,42,3,0
Guinea,2014-10-22,1540.0,904.0,21.0,60.5,0,47.0,122.0,52.0,122.0,43.19336368780132,-0.5531914893617021,10,43,3,0
Guinea,2014-10-25,1553.0,926.0,13.0,50.75,0,21.0,47.0,122.0,122.0,49.668064857276995,-0.38095238095238093,10,43,3,0
Guinea,2014-10-29,1906.0,997.0,353.0,108.5,1,13.0,21.0,47.0,353.0,163.64494085264803,10.0,10,44,3,0
Guinea,2014-10-31,1667.0,1018.0,0.0,96.75,0,353.0,13.0,21.0,353.0,171.05237989185264,-1.0,10,44,3,0
Guinea,2014-11-05,1731.0,1041.0,64.0,107.5,0,0.0,353.0,13.0,353.0,165.9809225985525,10.0,11,45,3,0
Guinea,2014-11-07,1760.0,1054.0,29.0,111.5,0,64.0,0.0,353.0,353.0,163.1124356591694,-0.546875,11,45,3,0
Guinea,2014-11-12,1878.0,1142.0,118.0,52.75,1,29.0,64.0,0.0,118.0,50.76333979031203,3.068965517241379,11,46,3,0
Guinea,2014-11-14,1919.0,1166.0,41.0,63.0,0,118.0,29.0,64.0,118.0,39.43771460586101,-0.652542372881356,11,46,3,0
Guinea,2014-11-19,1971.0,1192.0,52.0,60.0,0,41.0,118.0,29.0,118.0,39.79112128771119,0.2682926829268293,11,47,3,0
Guinea,2014-11-21,2047.0,1214.0,76.0,71.75,0,52.0,41.0,118.0,118.0,34.12110783664578,0.46153846153846145,11,47,3,0
Guinea,2014-11-26,2134.0,1260.0,87.0,64.0,0,76.0,52.0,41.0,87.0,21.181753153756574,0.14473684210526305,11,48,3,0
Guinea,2014-12-01,2155.0,1312.0,21.0,59.0,0,87.0,76.0,52.0,87.0,29.246082358725303,-0.7586206896551724,12,49,0,0
Guinea,2014-12-03,2164.0,1327.0,9.0,48.25,0,21.0,87.0,76.0,87.0,38.964727639238156,-0.5714285714285714,12,49,0,0
Guinea,2014-12-10,2292.0,1428.0,128.0,61.25,1,9.0,21.0,87.0,128.0,56.18051263561066,10.0,12,50,0,0
Guinea,2014-12-15,2394.0,1518.0,102.0,65.0,0,128.0,9.0,21.0,128.0,58.906705900092646,-0.203125,12,51,0,0
Guinea,2014-12-17,2416.0,1525.0,22.0,65.25,0,102.0,128.0,9.0,128.0,58.65932719241397,-0.7843137254901961,12,51,0,0
Guinea,2014-12-22,2571.0,1586.0,155.0,101.75,0,22.0,102.0,128.0,155.0,57.40136467599596,6.045454545454546,12,52,0,0
Guinea,2014-12-23,2597.0,1607.0,26.0,76.25,0,155.0,22.0,102.0,155.0,64.11643055151056,-0.832258064516129,12,52,0,0
Guinea,2014-12-24,2597.0,1607.0,0.0,50.75,0,26.0,155.0,22.0,155.0,70.43377504199727,-1.0,12,52,0,0
Guinea,2014-12-26,2630.0,1654.0,33.0,53.5,0,0.0,26.0,155.0,155.0,69.13995468130814,10.0,12,52,0,0
Guinea,2014-12-29,2695.0,1697.0,65.0,31.0,1,33.0,0.0,26.0,65.0,26.745716167890194,0.9696969696969697,12,1,0,0
Guinea,2014-12-30,2706.0,1708.0,11.0,27.25,0,65.0,33.0,0.0,65.0,28.66327499315706,-0.8307692307692307,12,1,0,0
Guinea,2014-12-31,2707.0,1709.0,1.0,27.5,0,11.0,65.0,33.0,65.0,28.349015268024324,-0.9090909090909091,12,1,0,0
Guinea,2015-01-02,2730.0,1739.0,23.0,25.0,0,1.0,11.0,65.0,65.0,28.142494558940747,10.0,1,1,0,0
Guinea,2015-01-05,2769.0,1767.0,39.0,18.5,1,23.0,1.0,11.0,39.0,16.36052158907766,0.6956521739130435,1,2,0,0
Guinea,2015-01-06,2775.0,1781.0,6.0,17.25,0,39.0,23.0,1.0,39.0,17.289206652321447,-0.8461538461538461,1,2,0,0
Guinea,2015-01-07,2775.0,1781.0,0.0,17.0,0,6.0,39.0,23.0,39.0,17.60681686165928,-1.0,1,2,0,0
Guinea,2015-01-08,2776.0,1786.0,1.0,11.5,0,0.0,6.0,39.0,39.0,18.52025917745239,10.0,1,2,0,0
Guinea,2015-01-09,2793.0,1797.0,17.0,6.0,0,1.0,0.0,6.0,17.0,7.7888809636992296,10.0,1,2,0,0
Guinea,2015-01-12,2799.0,1807.0,6.0,6.0,0,17.0,1.0,0.0,17.0,7.7888809636992296,-0.6470588235294117,1,3,0,0
Guinea,2015-01-13,2799.0,1807.0,0.0,6.0,0,6.0,17.0,1.0,17.0,7.7888809636992296,-1.0,1,3,0,0
Guinea,2015-01-14,2806.0,1814.0,7.0,7.5,0,0.0,6.0,17.0,17.0,7.04745817062267,10.0,1,3,0,0
Guinea,2015-01-15,2817.0,1821.0,11.0,6.0,0,7.0,0.0,6.0,11.0,4.546060565663004,0.5714285714285714,1,3,0,0
Guinea,2015-01-16,2825.0,1829.0,8.0,6.5,0,11.0,7.0,0.0,11.0,4.6547466812573415,-0.2727272727272727,1,3,0,0
Guinea,2015-01-19,2873.0,1875.0,48.0,18.5,1,8.0,11.0,7.0,48.0,19.73997635932415,5.0,1,4,0,0
Guinea,2015-01-20,2871.0,1876.0,0.0,16.75,0,48.0,8.0,11.0,48.0,21.34439817219832,-1.0,1,4,0,0
